ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CRI,Costa Rica,Climate Watch,Energy,All GHG,MtCO₂e,6.78,7.7,7.86,7.86,7.75,7.15,7.48,7.45,7.14,7.12,6.85,6.61,6.94,6.94,6.26,5.69,5.54,5.49,5.17,5.05,4.62,4.68,4.66,4.21,4.33,4.59,4.6,3.96,3.99,2.89,2.73
CUB,Cuba,Climate Watch,Energy,All GHG,MtCO₂e,24.51,24.45,26.68,26.32,27.23,29.34,26.77,28.72,28.52,27.42,27.94,26.72,26.45,27.32,26.44,26.01,25.27,25.59,26.33,27.53,28.37,27.84,26.86,27.11,25.1,23.0,21.72,20.19,21.9,27.23,34.93
CYP,Cyprus,Climate Watch,Energy,All GHG,MtCO₂e,5.97,6.49,6.43,6.52,6.41,6.05,5.91,5.75,6.67,7.17,7.43,7.69,7.76,7.57,7.25,7.18,7.04,7.15,6.46,6.31,6.42,6.19,5.92,5.58,5.45,5.14,5.24,5.03,4.84,4.52,3.96
CZE,Czech Republic,Climate Watch,Energy,All GHG,MtCO₂e,92.76,101.57,106.68,107.6,107.02,105.63,104.59,107.77,112.88,116.84,120.01,118.87,124.22,129.91,128.75,127.94,129.4,129.37,126.31,130.67,131.11,119.41,127.5,134.25,136.92,133.12,133.87,140.25,146.03,152.1,166.87
DEU,Germany,Climate Watch,Energy,All GHG,MtCO₂e,603.24,659.37,708.67,733.31,748.79,743.9,737.29,779.3,762.19,748.11,776.5,737.43,792.05,785.18,817.12,804.54,822.18,838.71,835.65,849.38,829.97,832.9,864.94,872.75,904.9,873.75,875.08,887.31,893.16,934.66,956.78
DJI,Djibouti,Climate Watch,Energy,All GHG,MtCO₂e,0.33,0.33,0.33,0.34,0.35,0.39,0.34,0.5,0.49,0.47,0.52,0.47,0.47,0.47,0.43,0.43,0.4,0.41,0.4,0.38,0.37,0.39,0.39,0.33,0.3,0.32,0.3,0.31,0.3,0.29,0.27
DMA,Dominica,Climate Watch,Energy,All GHG,MtCO₂e,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.15,0.17,0.16,0.17,0.16,0.16,0.15,0.14,0.12,0.11,0.14,0.13,0.1,0.09,0.09,0.07,0.08,0.07,0.07,0.06,0.06,0.06
DNK,Denmark,Climate Watch,Energy,All GHG,MtCO₂e,27.68,30.36,33.93,34.14,36.42,34.95,37.1,41.35,39.74,44.82,50.38,50.09,52.18,55.34,60.31,52.54,56.0,61.43,55.89,56.23,54.6,58.49,61.0,65.03,74.55,61.01,64.24,60.26,57.86,63.66,52.82
DOM,Dominican Republic,Climate Watch,Energy,All GHG,MtCO₂e,21.45,24.16,23.82,22.05,23.13,22.1,19.99,20.13,20.59,19.85,19.55,18.59,19.36,19.44,19.27,17.97,16.59,17.92,20.02,18.22,17.99,17.2,16.18,14.03,12.32,11.51,10.87,9.24,9.29,7.95,7.66
DZA,Algeria,Climate Watch,Energy,All GHG,MtCO₂e,221.34,233.44,229.43,221.12,219.84,220.09,212.1,201.24,197.22,179.89,175.56,173.93,174.19,169.93,167.96,162.38,155.71,154.08,141.59,135.58,138.88,130.77,127.39,127.28,128.92,126.2,120.75,117.94,109.67,109.38,105.43
