ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CAF,Central African Republic,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CAN,Canada,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,194.16,207.98,211.37,212.76,213.35,216.88,216.72,214.17,211.12,209.69,208.53,202.51,213.68,229.28,211.42,212.6,192.73,204.08,194.43,195.06,189.83,177.96,176.31,161.91,149.22,147.93,142.58,137.98,146.34,139.3,138.62
CHE,Switzerland,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,3.14,3.19,3.18,3.19,3.2,3.12,3.61,3.74,3.62,3.65,3.83,3.66,3.94,3.84,4.18,4.07,3.97,3.58,3.56,3.48,3.33,3.47,3.69,3.17,2.97,2.88,3.02,2.83,3.17,3.04,2.52
CHL,Chile,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,37.62,40.54,35.55,37.04,37.64,35.81,32.9,38.95,37.41,32.64,27.59,27.13,29.0,26.5,20.97,20.93,20.96,17.25,15.84,14.73,16.63,21.28,18.72,15.85,13.99,10.14,9.27,7.21,7.12,8.38,10.66
CHN,China,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,5713.98,5618.47,5407.88,5060.66,4721.35,4616.44,4712.49,4766.22,4472.58,4345.31,3850.79,3472.68,3224.17,3186.51,2912.66,2565.02,2387.6,2189.25,1849.39,1669.17,1582.82,1439.69,1416.39,1334.53,1336.76,1191.43,1088.0,1002.36,881.91,798.08,728.78
CIV,Côte d'Ivoire,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,4.06,3.84,3.58,3.92,3.55,3.96,3.94,3.62,3.65,2.81,2.92,2.52,2.85,2.46,2.34,3.14,2.34,2.19,2.64,2.47,2.37,2.51,2.47,2.13,1.49,1.02,1.05,0.91,0.69,0.63,0.59
CMR,Cameroon,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2.48,2.34,2.62,2.25,2.12,2.03,1.85,1.5,1.23,1.3,1.65,1.56,1.42,1.33,0.61,0.16,0.12,0.12,0.09,0.06,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
COD,Democratic Republic of the Congo,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.05,0.05,0.05,0.06,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.07,0.1
COG,Republic of Congo,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2.23,2.13,1.52,1.34,1.35,1.27,0.44,0.42,0.42,0.3,0.21,0.13,0.05,0.04,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01
COK,Cook Islands,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
