ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CAN,Canada,Climate Watch,Industrial Processes,All GHG,MtCO₂e,21.83,22.2,21.88,21.63,20.77,20.05,18.78,18.76,19.21,18.04,17.36,17.1,20.26,19.94,20.34,22.15,22.59,20.09,20.04,19.22,20.42,20.31,23.57,26.77,27.6,27.13,27.16,24.94,26.75,28.49,29.1
CHE,Switzerland,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.43,3.44,3.4,3.38,3.35,3.36,3.52,3.48,3.44,3.5,3.48,3.34,3.41,3.37,3.25,3.17,3.02,2.8,2.77,2.74,2.64,2.39,2.34,2.21,2.32,2.46,2.42,2.19,2.42,2.58,2.93
CHL,Chile,Climate Watch,Industrial Processes,All GHG,MtCO₂e,4.43,4.19,3.87,3.85,3.85,3.56,3.56,3.62,3.67,3.63,3.6,3.33,3.25,2.95,2.56,2.44,2.49,2.42,2.4,2.34,2.35,2.13,2.14,1.79,1.64,1.51,1.54,1.35,1.16,1.0,0.96
CHN,China,Climate Watch,Industrial Processes,All GHG,MtCO₂e,1260.69,1220.29,1170.99,1133.39,1109.08,1078.98,1112.43,1058.98,1002.33,975.36,885.58,808.64,730.0,698.16,632.32,552.88,492.82,461.25,373.39,344.63,301.37,277.78,253.39,237.4,219.9,204.11,180.08,157.02,135.16,112.6,94.35
CIV,Côte d'Ivoire,Climate Watch,Industrial Processes,All GHG,MtCO₂e,3.99,3.7,3.4,3.11,2.82,2.52,2.27,2.02,1.78,1.53,1.28,1.15,1.03,0.9,0.77,0.65,0.62,0.6,0.57,0.54,0.52,0.43,0.35,0.27,0.19,0.11,0.09,0.07,0.04,0.02,0.0
CMR,Cameroon,Climate Watch,Industrial Processes,All GHG,MtCO₂e,60.28,59.79,59.58,59.24,58.92,58.44,58.09,57.94,57.68,57.44,57.19,57.14,57.01,56.98,56.83,56.75,56.76,56.72,56.72,56.73,56.7,56.63,56.54,56.44,56.27,56.32,56.32,0.67,0.69,0.68,0.74
COD,Democratic Republic of the Congo,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2.87,2.81,2.5,2.27,1.84,1.72,1.54,1.44,1.27,1.14,1.0,0.91,0.81,0.78,0.7,0.63,0.56,0.52,0.47,0.43,0.39,0.34,0.28,0.23,0.23,0.18,0.14,0.12,0.12,0.14,0.22
COG,Republic of Congo,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.93,0.93,0.87,0.95,0.86,0.72,0.58,0.45,0.37,0.3,0.26,0.25,0.22,0.2,0.18,0.16,0.11,0.11,0.1,0.1,0.1,0.08,0.06,0.06,0.05,0.06,0.05,0.06,0.06,0.05,0.04
COK,Cook Islands,Climate Watch,Industrial Processes,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL,Colombia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,12.77,12.85,12.2,11.72,11.39,11.21,10.57,9.71,9.6,8.77,7.86,7.44,7.63,7.42,6.69,6.38,5.65,5.37,4.89,4.7,4.61,3.94,4.71,4.58,4.29,4.3,4.26,3.64,3.19,3.0,2.98
